epoch,step,time_forward,train_loss,valid_loss
234,234,1.4208099842071533,9899.611328125,
235,235,,,9939.833984375
235,235,1.5976672172546387,9897.109375,
236,236,,,9928.740234375
236,236,1.5090938806533813,9898.310546875,
237,237,,,9933.8876953125
237,237,1.7389531135559082,9896.0029296875,
238,238,,,9932.87890625
238,238,1.5675220489501953,9893.5712890625,
239,239,,,9931.11328125
239,239,1.6749529838562012,9890.3837890625,
240,240,,,9924.8173828125
240,240,1.5930969715118408,9883.8896484375,
241,241,,,9930.1796875
241,241,1.671651005744934,9885.98046875,
242,242,,,9915.5966796875
242,242,1.7269039154052734,9884.1357421875,
243,243,,,9919.01171875
243,243,2.1767098903656006,9882.962890625,
244,244,,,9917.1494140625
244,244,1.8387110233306885,9883.57421875,
245,245,,,9918.080078125
245,245,1.9014110565185547,9877.4013671875,
246,246,,,9916.142578125
246,246,1.5116300582885742,9879.5927734375,
247,247,,,9917.04296875
247,247,1.5253552198410034,9875.451171875,
248,248,,,9913.4169921875
248,248,1.472772240638733,9873.5078125,
249,249,,,9908.875
249,249,1.853662133216858,9873.7880859375,
250,250,,,9914.56640625
250,250,1.6976226568222046,9870.083984375,
251,251,,,9904.501953125
251,251,1.7372050285339355,9873.4267578125,
252,252,,,9905.576171875
252,252,1.8151980638504028,9865.205078125,
253,253,,,9901.5478515625
253,253,1.8117010593414307,9863.689453125,
254,254,,,9909.8076171875
254,254,1.7407078742980957,9862.5810546875,
255,255,,,9908.18359375
255,255,1.8965487480163574,9860.8251953125,
256,256,,,9901.2431640625
256,256,1.771049976348877,9859.90234375,
257,257,,,9896.982421875
257,257,3.315916061401367,9860.0263671875,
258,258,,,9900.8583984375
258,258,2.223288059234619,9858.3544921875,
259,259,,,9897.24609375
259,259,2.883167266845703,9854.0751953125,
260,260,,,9894.599609375
260,260,1.3213489055633545,9851.525390625,
261,261,,,9894.8173828125
261,261,1.5542168617248535,9849.9423828125,
262,262,,,9891.4326171875
262,262,1.5283786058425903,9849.5537109375,
263,263,,,9889.32421875
263,263,1.526371955871582,9847.0634765625,
264,264,,,9887.6123046875
264,264,1.6191619634628296,9847.025390625,
265,265,,,9888.4267578125
265,265,1.845814824104309,9847.244140625,
266,266,,,9887.287109375
266,266,1.445559024810791,9844.6376953125,
267,267,,,9886.32421875
267,267,1.2672019004821777,9843.4560546875,
268,268,,,9887.162109375
268,268,1.1696500778198242,9838.6572265625,
269,269,,,9878.0849609375
269,269,1.230309009552002,9840.4091796875,
270,270,,,9883.5029296875
270,270,1.226222038269043,9835.9599609375,
271,271,,,9878.06640625
271,271,1.23630690574646,9831.908203125,
272,272,,,9876.40625
272,272,1.2588601112365723,9836.3310546875,
273,273,,,9875.435546875
273,273,1.1866049766540527,9832.4013671875,
274,274,,,9876.125
274,274,1.2028849124908447,9831.0576171875,
275,275,,,9871.537109375
275,275,1.1579899787902832,9827.2783203125,
276,276,,,9873.8349609375
276,276,1.1816329956054688,9826.5927734375,
277,277,,,9872.4248046875
277,277,1.2186048030853271,9824.6181640625,
278,278,,,9874.32421875
278,278,1.1806578636169434,9826.5966796875,
279,279,,,9869.154296875
279,279,1.1806557178497314,9823.1416015625,
280,280,,,9871.1083984375
280,280,1.235482931137085,9820.025390625,
281,281,,,9867.2529296875
281,281,1.1858477592468262,9818.869140625,
282,282,,,9869.287109375
282,282,1.2725822925567627,9817.6220703125,
283,283,,,9869.255859375
283,283,1.2822399139404297,9817.3037109375,
284,284,,,9863.302734375
284,284,1.1158509254455566,9814.87109375,
285,285,,,9863.685546875
285,285,1.157207727432251,9814.4404296875,
286,286,,,9862.3525390625
286,286,1.204881191253662,9817.5693359375,
287,287,,,9861.74609375
287,287,1.3831478357315063,9814.576171875,
288,288,,,9861.6025390625
288,288,1.2093510627746582,9813.22265625,
289,289,,,9857.05859375
289,289,1.2026159763336182,9810.93359375,
290,290,,,9862.3642578125
290,290,1.261049747467041,9809.30859375,
291,291,,,9854.60546875
291,291,1.1274678707122803,9808.6962890625,
292,292,,,9857.55078125
292,292,1.194305181503296,9806.953125,
293,293,,,9856.927734375
293,293,1.2326569557189941,9805.3935546875,
294,294,,,9850.16015625
294,294,1.23077392578125,9804.0927734375,
295,295,,,9853.21484375
295,295,1.1893317699432373,9803.3154296875,
296,296,,,9850.3330078125
296,296,1.1846551895141602,9800.3310546875,
297,297,,,9849.5830078125
297,297,1.300424337387085,9805.81640625,
298,298,,,9848.2783203125
298,298,1.1475071907043457,9798.052734375,
299,299,,,9845.1884765625
299,299,1.184880256652832,9798.9091796875,
