time_ms,psth_zscore,unit_id,channel,fov,condition,stim_name,stimulation_id
980.0,0.014470512745874436,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
990.0,-0.2635747272856116,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1000.0,-0.5227877308429484,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1010.0,-0.7113014390265064,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1020.0,-0.3546571560820623,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1030.0,0.007270764494256801,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1040.0,0.7361660658118593,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1050.0,0.36413501724964237,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1060.0,0.35254892212244227,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1070.0,-0.09378692758108637,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1080.0,-0.4550199942253367,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1090.0,-0.2260912657497229,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1100.0,0.5237848289983856,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1110.0,0.6989214872458733,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1120.0,0.24058634510771038,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1130.0,0.22266805874039433,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1140.0,-0.18143984119584938,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1150.0,0.43022168028129465,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1160.0,0.11349962737768915,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1170.0,-0.2546655297828674,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1180.0,-0.5645489009156878,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1190.0,-0.2927453685038155,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1200.0,0.02749386300577221,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1210.0,0.2775017197805015,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1220.0,0.8834664195471902,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1230.0,0.4262023980594044,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1240.0,0.3727720206339577,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1250.0,0.3751824988169461,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1260.0,-0.044688433455378554,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1270.0,0.0553834894634507,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1280.0,0.6743641255104533,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1290.0,0.2978753906969678,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1300.0,-0.14835192860015922,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1310.0,-0.05349856305792677,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1320.0,-0.33100454238885924,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1330.0,-0.5600272885823699,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1340.0,-0.7255129952671417,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1350.0,-0.8224563939295216,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1360.0,-0.4029052030441862,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1370.0,-0.47294246183070454,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1380.0,-0.14126132394953067,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1390.0,-0.32736011227045897,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1400.0,-0.07950512960279904,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1410.0,0.1566798724557515,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1420.0,-0.12885251018325655,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1430.0,-0.4341202219091274,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1440.0,-0.6687537478722323,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1450.0,-0.8032478907370642,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1460.0,-0.3979082560923639,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1470.0,-0.008110980296951578,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1480.0,-0.19560565148181042,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
1490.0,0.4722758566896894,913,284,lob6,sg007_lob6_stim002,sg007_lob6_stim1131713,0
